metal,ligand,count,mean,std,min,max
Ag,B,1,2.5565143839659887,,2.5565143839659887,2.5565143839659887
Ag,Br,39,2.5572890102635992,0.19606580699372825,2.402956875920581,3.1116947003881985
Ag,C,374,2.1613728814475355,0.25001213088129587,1.973527216997526,4.006792006694882
Ag,Cl,103,2.3510158408246404,0.10961717555888753,2.281790001963371,2.969694029567019
Ag,I,18,2.8267137115254126,0.1424378082735424,2.600819222035433,3.1035820235690568
Ag,N,913,2.273649082564528,0.15988545033822923,1.9561403278325917,3.1875754007875643
Ag,O,269,2.332568239366223,0.16384855080364558,2.0774432486758814,3.145274170389285
Ag,P,262,2.4070731326084567,0.06142588524927696,2.318664305395242,2.6806399518391126
Ag,S,250,2.6218678534476,0.12654949471148105,2.342453700081391,3.032772145761201
Ag,Se,23,2.712918929052392,0.13465676564174112,2.448308585211023,2.9815373133246217
Ag,Si,4,2.386336870112155,0.04153783833767213,2.324349954097704,2.41150484502499
Au,As,18,2.4114424594385833,0.05235347201101847,2.3654717567290886,2.560151187403392
Au,B,33,2.3311417684300983,0.15775313579704192,2.1257560708649055,2.8255064094319446
Au,Br,235,2.460889752694602,0.03171638510508754,2.3929141742421525,2.5474679814466756
Au,C,1968,2.069613685557921,0.19406798411471235,1.8750832554580077,3.646913493038188
Au,Cl,1340,2.3262998349578448,0.04857857767699815,2.2658150050685957,2.990639529155595
Au,F,11,2.0022704690897095,0.06633274014317535,1.9410567102575857,2.166634903162275
Au,H,2,2.1286324656585394,0.24732726764732654,1.9537456775327746,2.3035192537843043
Au,I,121,2.6673927153184747,0.15445881696205843,2.5787263258122217,4.263544997776967
Au,N,1109,2.2491124967442593,0.38563850424067453,1.9601883073636062,3.9821040439871727
Au,O,153,2.214419011955203,0.3779156005258212,1.9797478365698498,4.647043414220595
Au,P,1065,2.3138677560753393,0.09217236384993555,2.217480332448746,3.8088905821351706
Au,S,739,2.3807893915315144,0.0829546120201533,2.2891174280110667,3.5183671188768804
Au,Se,41,2.5041998512951147,0.10472623725404291,2.4172914873595612,2.9262788591229647
Au,Si,7,2.6159472109264437,0.2970277925237325,2.282165431874298,3.0285117189935056
Cd,Br,150,2.567251420593341,0.036787221024933,2.4840667812627344,2.7115322935768256
Cd,C,37,2.2173676882966333,0.10315747687134577,2.1039304780745485,2.5600170030202922
Cd,Cl,311,2.455836315916824,0.07220398681973589,2.366475050558108,2.8103430019840996
Cd,F,2,2.2200422645056443,0.12577897593914164,2.131103097688378,2.3089814313229113
Cd,H,1,1.6802532520882083,,1.6802532520882083,1.6802532520882083
Cd,I,261,2.753628221818927,0.05509622118604044,2.664174163014686,3.212521001375866
Cd,N,2600,2.4009671348476687,0.09323723040327793,2.0478742800184295,2.882371798543172
Cd,O,1497,2.3494549464334717,0.08501584335176746,2.088507727595232,2.641269979158889
Cd,P,10,2.651211788431168,0.018875948668083477,2.6264619705354577,2.6936303836408215
Cd,S,568,2.672490500310812,0.09680051603033793,2.4318748864990978,3.325487040439791
Cd,Se,33,2.7111365812695922,0.1309553533818018,2.565655134548874,3.0810403020942454
Cd,Si,2,2.558156273024191,1.38549303042482e-05,2.5581464761090205,2.5581660699393622
Co,As,22,2.3989410197543393,0.09573690404690803,2.284590588910407,2.7241389099546662
Co,B,879,2.117840617255323,0.09695745641039269,1.8422613430707924,3.620638380947758
Co,Br,63,2.40134185443681,0.0398487627945579,2.2836710505539104,2.5517560210031833
Co,C,4467,2.1164474695028512,0.3639653777925688,1.6822021117755146,5.48778864703261
Co,Cl,309,2.2617452790079944,0.03812367760683114,2.14804528041217,2.423771564111189
Co,F,11,2.315427754333076,0.4554403325795776,1.8737924688174517,2.814418022542494
Co,H,41,1.53235905712531,0.06806587098470623,1.4381022445462632,1.684135591376775
Co,I,89,2.6192837681953614,0.05344144355065427,2.4966253247459864,2.781787616362004
Co,N,6797,2.015457508196347,0.3346258046359229,1.620045680914276,4.337247641688102
Co,O,3415,2.3497960489466285,0.49062732134268366,1.790896536251606,6.418992737166011
Co,P,857,2.1932212161450018,0.04915693361076524,2.003348006468172,2.397206191216976
Co,S,804,2.31999731750905,0.39526466420998546,2.02850346886048,4.53478115799175
Co,Se,39,2.358765065552781,0.047512861679099586,2.2431175896359066,2.4310349694459354
Co,Si,21,2.2715934442635364,0.059490087948489104,2.121671539970549,2.4061616619847057
Cr,As,17,2.485848747617245,0.13157908093546672,2.4078377220491833,2.918126748749101
Cr,B,34,2.3400818738791043,0.28279385798972817,1.8834173502434344,2.961138177475344
Cr,Br,7,2.8710977398026905,0.82530560186961,2.3404749911556415,4.08839728203718
Cr,C,10386,2.065626616627699,0.27962595034521226,1.6941940891243839,6.746484245163624
Cr,Cl,35,2.2460724298857215,0.057921114538441065,2.1546601327759327,2.417501001285832
Cr,F,1,1.7724464171043366,,1.7724464171043366,1.7724464171043366
Cr,H,43,1.8017156855603458,0.1434738928143666,1.5499679307050196,2.105960800664153
Cr,I,8,2.6603558801293565,0.08517369866610212,2.562626013946046,2.8052643755491213
Cr,N,601,2.0066401527956836,0.41641043771488384,1.5158593139820071,4.008277142558633
Cr,O,4855,2.995389792240629,0.16248745878608972,1.5479250686418902,5.10092314111191
Cr,P,347,2.333369667286274,0.13487591128765664,2.135662437698898,4.533047879525761
Cr,S,104,2.5457736026899593,0.42877521039505695,2.2085042795321908,4.652338381906243
Cr,Se,10,2.608048146500803,0.33794046974796205,2.3612500225179462,3.5329675178332733
Cr,Si,18,2.405270425033884,0.18242366094079987,2.1604965171362807,2.892054674959829
Cu,As,5,2.348822403883106,0.012525258749192846,2.326417308645635,2.354584834571479
Cu,B,20,2.157939108639074,0.0998195863253143,1.9929579180138248,2.3738486393114875
Cu,Br,167,2.369691076608423,0.06633352538833497,2.2381420620318098,2.531542956624082
Cu,C,844,2.3018377155905063,0.7214206867237668,1.7773430517969793,9.717675912904948
Cu,Cl,294,2.241769993064052,0.09254714210775457,2.092576406972754,2.752861069674603
Cu,F,1,1.7626903769910929,,1.7626903769910929,1.7626903769910929
Cu,H,9,1.747173793861157,0.06547033830035584,1.6392709145537843,1.8329923565061585
Cu,I,147,2.5557437790388535,0.06270879796429335,2.4085711801869167,2.751079464122765
Cu,N,2610,2.0808607223804674,0.2522905585230686,1.7284274545496552,4.853081488745579
Cu,O,489,2.2255762157398054,0.5800001787623058,1.7970002276009873,6.168015453047844
Cu,P,724,2.2445542746277587,0.04774037021751583,2.126140004091217,2.9339361110927413
Cu,S,569,2.3182422309861757,0.1642856863063083,2.160181882887874,4.371764009524416
Cu,Se,35,2.3957595268184138,0.058315527991704426,2.2636808775699815,2.5182979265714374
Cu,Si,16,2.432770764899061,0.29811271477323176,2.2040270405534956,3.148469278524248
Fe,As,18,2.3756355541216934,0.07807207905499271,2.2887976999879216,2.5402127133746104
Fe,B,137,2.1732585101135333,0.21236614992096653,1.792967982299182,2.760394708228879
Fe,Br,236,2.4075148961884274,0.07020125029307067,2.2879909327357484,2.597388076956734
Fe,C,11620,2.0859731280345817,0.35595704652599897,1.6963453987000996,6.759057175196035
Fe,Cl,639,2.271251685152408,0.09217360489960381,2.1036744435491914,3.169793690621205
Fe,F,9,2.1778783634713146,0.24273095407945267,1.9922431468884514,2.7988526352384113
Fe,H,170,1.5993518893717502,0.12744272773080803,1.4868081030943434,2.0007914782697873
Fe,I,111,2.643332625805885,0.07293304803162326,2.483961107469076,2.8230652102383327
Fe,N,4711,1.9828224096602831,0.22062871838932308,1.5124997545983272,3.9512386250022913
Fe,O,4676,2.757457465133811,0.3712181979116847,1.733599328894944,3.9813367357078704
Fe,P,1556,2.2026497952238606,0.058303987406311555,2.020922832746713,3.5390978236595836
Fe,S,486,2.308865752831434,0.25463939276899245,2.1059020912858224,4.650261773680596
Fe,Se,33,2.632816628880256,0.5045809471197982,2.317560051837924,3.8977994268367633
Fe,Si,143,2.3088468863728573,0.0674833999260205,2.154166332943211,2.508386230951087
Hf,As,7,3.0771525261924753,0.356840757609721,2.73556529173204,3.5915976579085247
Hf,B,23,2.6144574791389603,0.2342744251100442,2.3729726906801942,3.3005965945599898
Hf,Br,6,2.6003859129843203,0.028724195359358252,2.55254610699709,2.6240283108676627
Hf,C,1741,2.5362800677432062,0.1526264359375599,2.1526734296279124,3.4463697154382604
Hf,Cl,282,2.458438241686434,0.16979670147246528,2.3697767176919853,3.5344035679433947
Hf,F,14,2.2435305174580624,0.37906893547115306,1.954151034890343,3.24180883015208
Hf,H,13,2.4090736947613958,0.4073952330312254,1.8571523526897302,2.8620624375072605
Hf,I,18,2.867278262132258,0.07344375017766534,2.76257375268589,3.010393484160833
Hf,N,410,2.2768765283925583,0.267354995514176,1.9509456865217953,4.207915112879774
Hf,O,125,2.174674222352109,0.2248987559272989,1.914265138968215,3.341800113731819
Hf,P,39,2.82293890704018,0.18743121578454258,2.5984798972218353,3.431245302717514
Hf,S,28,2.7797386941157005,0.28228849068418144,2.5010550141692205,3.6398449349016233
Hf,Se,4,2.7793763430575495,0.1759063873496035,2.627034807804609,2.9317173479646703
Hf,Si,16,2.986037521591872,0.2956964067765601,2.7296064888970717,3.888410523170747
Hg,B,7,2.3921263943554463,0.09393995466527902,2.2595353568618926,2.478626485789862
